Year,County,First_Time_Buyer_Rate,Median_Household_Income,Population_Size,Unemployment_Rate,Median_House_Price,CPI-U
2018,San Diego,43.5,78777,3332.483,3.4,401593.3,292.5
2019,San Diego,47,83576,3330.459,3.3,418287.5,299.4
2020,San Diego,46,87126,3297.252,9.5,457474.2,303.9
2021,San Diego,41.25,90756,3286.069,6.5,557783.3,319.8
2003,San Francisco,44.5,51402,775.663,6.8,253031.2,196.4
2004,San Francisco,37.25,51815,773.556,5.8,341540.3,198.8
2005,San Francisco,33.25,57476,777.835,5,399167.1,202.7
2006,San Francisco,26.5,64648,786.187,4.2,420522.8,209.2
2007,San Francisco,23.75,67333,799.185,4.2,396117.9,216
2008,San Francisco,34,73127,807.904,5.3,260071,222.8
2009,San Francisco,36.25,70247,815.184,9.1,183351.4,224.4
2010,San Francisco,39.5,70883,805.519,9.1,205825.4,227.5
2011,San Francisco,46.75,69354,815.694,8.2,200600,233.4
2014,San Francisco,30.25,83788,850.918,4.4,316819.2,252
2018,San Francisco,22.5,110601,879.676,2.4,401593.3,285.6
2019,San Francisco,26,121795,878.826,2.2,418287.5,295
2020,San Francisco,28,121722,870.014,8,457474.2,300.1
2021,San Francisco,27.75,119776,815.201,5,557783.3,309.7
2017,Riverside,58,63776,2413.058,5.3,,
2013,San Francisco,36.5,76933,839.695,5.5,,
2012,Riverside,78.5,52416,2260.763,11.8,,
2017,Los Angeles,44.25,64912,10092.365,4.8,,
2012,Los Angeles,64.5,52929,9931.394,11,,
2013,CA,56.5,60794,38253.768,9,,
2015,CA,52,63636,38904.296,6.3,,
2017,San Diego,45.75,76048,3319.019,4,,
2012,San Diego,64.75,60235,3175.148,9.3,,
2016,CA,50.75,66637,39149.186,5.5,,
2015,San Francisco,24.5,90527,863.237,3.7,,
2016,San Francisco,25,101873,871.343,3.3,,
2016,Riverside,61,59951,2378.282,6.1,,
2015,Riverside,61.25,57895,2344.648,6.7,,
2013,San Diego,53.25,61365,3210.788,7.9,,
2016,Los Angeles,47.25,61308,10094.865,5.3,,
2015,Los Angeles,48.5,59045,10077.263,6.7,,
2017,CA,48,70038,39337.785,4.8,,
2012,CA,68,57020,37944.551,10.5,,
2013,Los Angeles,54.25,54443,9987.189,9.8,,
2016,San Diego,47.75,70693,3305.462,4.7,,
2015,San Diego,47.75,67053,3280.825,5.2,,
2013,Riverside,67,53909,2286.087,10,,
2012,San Francisco,44.75,72093,828.963,6.9,,
2017,San Francisco,22.75,109601,877.471,2.9,,
