Year,County,Population_Size,Unemployment_Rate,Median_Household_Income,First_Time_Buyer_Rate,CPI,Median_House_Price
2007,San Francisco,799.185,4.2,67333,23.75,216,396117.9
2008,San Francisco,807.904,5.3,73127,34,222.8,260071
2009,San Francisco,815.184,9.1,70247,36.25,224.4,183351.4
2010,San Francisco,805.519,9.1,70883,39.5,227.5,205825.4
2011,San Francisco,815.694,8.2,69354,46.75,233.4,200600
2012,San Francisco,828.963,6.9,72093,44.75,239.6,221450.8
2013,San Francisco,839.695,5.5,76933,36.5,245,283385.8
2014,San Francisco,850.918,4.4,83788,30.25,252,316819.2
2015,San Francisco,863.237,3.7,90527,24.5,258.6,330365
2016,San Francisco,871.343,3.3,101873,25,266.3,350716.7
2017,San Francisco,877.471,2.9,109601,22.75,274.9,379079.2
2018,San Francisco,879.676,2.4,110601,22.5,285.6,401593.3
2019,San Francisco,878.826,2.2,121795,26,295,418287.5
2020,San Francisco,870.014,8,121722,28,300.1,457474.2
2021,San Francisco,815.201,5,119776,27.75,309.7,557783.3
